camera	frame	cX	cY	area	minI	maxI	meanI
right	149	120	65	2.0	113.0	150.0	125.375
right	149	295	155	3.5	114.0	172.0	134.375
left	150	360	153	3.5	120.0	173.0	137.75
right	150	121	65	1.0	117.0	141.0	123.4
right	150	295	155	4.5	114.0	164.0	131.33333333333331
left	151	360	153	3.5	120.0	173.0	137.75
right	151	121	65	1.0	117.0	141.0	123.4
right	151	295	155	4.5	114.0	164.0	131.33333333333331
left	152	360	153	3.5	120.0	173.0	137.75
right	152	121	65	1.0	117.0	141.0	123.4
right	152	295	155	4.5	114.0	164.0	131.33333333333331
left	153	359	153	3.5	112.0	165.0	131.5
right	153	574	44	1.0	113.0	124.0	113.75
right	153	294	155	3.5	115.0	161.0	130.5
left	154	359	153	3.5	112.0	165.0	131.5
right	154	574	44	1.0	113.0	124.0	113.75
right	154	294	155	3.5	115.0	161.0	130.5
left	155	359	153	3.5	112.0	165.0	131.5
right	155	574	44	1.0	113.0	124.0	113.75
right	155	294	155	3.5	115.0	161.0	130.5
left	156	360	153	3.0	124.0	159.0	134.42857142857142
left	156	526	294	0.5	111.0	115.0	110.66666666666666
right	156	574	44	1.0	113.0	124.0	113.75
right	156	294	155	3.5	115.0	161.0	130.5
left	157	360	153	3.0	124.0	159.0	134.42857142857142
left	157	526	294	0.5	111.0	115.0	110.66666666666666
right	157	120	65	1.5	116.0	134.0	119.2
right	157	294	155	3.5	119.0	162.0	133.0
left	158	360	153	3.0	124.0	159.0	134.42857142857142
left	158	526	294	0.5	111.0	115.0	110.66666666666666
right	158	120	65	1.5	116.0	134.0	119.2
right	158	294	155	3.5	119.0	162.0	133.0
left	159	360	153	3.0	124.0	159.0	134.42857142857142
left	159	526	294	0.5	111.0	115.0	110.66666666666666
right	159	120	65	1.5	116.0	134.0	119.2
right	159	294	155	3.5	119.0	162.0	133.0
left	160	360	153	3.0	116.0	157.0	135.28571428571428
right	160	120	65	1.5	116.0	134.0	119.2
right	160	294	155	3.5	119.0	162.0	133.0
left	161	360	153	3.0	116.0	157.0	135.28571428571428
right	161	121	65	1.5	116.0	142.0	129.8
right	161	294	155	3.5	116.0	161.0	130.375
left	162	360	153	3.0	116.0	157.0	135.28571428571428
right	162	121	65	1.5	116.0	142.0	129.8
right	162	294	155	3.5	116.0	161.0	130.375
left	163	360	153	3.0	116.0	157.0	135.28571428571428
right	163	120	65	2.0	116.0	144.0	126.33333333333333
right	163	294	155	3.5	116.0	161.0	130.375
left	164	360	153	4.0	113.0	163.0	129.0
right	164	121	65	1.5	116.0	142.0	129.8
right	164	294	155	3.5	116.0	161.0	130.375
left	165	360	153	4.0	113.0	163.0	129.0
right	165	120	65	2.0	115.0	140.0	124.5
right	165	294	155	1.5	114.0	155.0	129.6
left	166	360	153	4.0	113.0	163.0	129.0
right	166	120	65	2.0	115.0	140.0	124.5
right	166	294	155	1.5	114.0	155.0	129.6
left	167	360	153	4.0	113.0	163.0	129.0
right	167	120	65	2.0	115.0	140.0	124.5
right	167	294	155	1.5	114.0	155.0	129.6
left	168	359	153	1.0	111.0	123.0	113.0
right	168	120	65	0.5	114.0	138.0	122.5
left	169	359	153	1.0	111.0	123.0	113.0
right	169	120	65	0.5	114.0	138.0	122.5
left	170	359	153	1.0	111.0	123.0	113.0
right	170	120	65	0.5	114.0	138.0	122.5
right	171	120	65	0.5	114.0	138.0	122.5
right	172	120	65	2.0	114.0	142.0	119.5
right	173	120	65	2.0	114.0	142.0	119.5
right	174	120	65	2.0	114.0	142.0	119.5
right	175	120	65	2.0	114.0	142.0	119.5
right	176	121	65	1.0	119.0	136.0	123.0
right	177	121	65	1.0	119.0	136.0	123.0
right	178	121	65	1.0	119.0	136.0	123.0
right	179	121	65	1.0	119.0	136.0	123.0
right	180	120	65	1.0	112.0	120.0	113.0
right	181	120	65	1.0	112.0	120.0	113.0
right	182	120	65	1.0	112.0	120.0	113.0
right	183	121	65	1.0	113.0	131.0	117.25
right	184	121	65	1.0	113.0	131.0	117.25
right	185	121	65	1.0	113.0	131.0	117.25
right	186	121	65	1.0	113.0	131.0	117.25
right	191	120	65	2.0	112.0	130.0	119.66666666666666
right	192	120	65	2.0	112.0	130.0	119.66666666666666
right	193	120	65	2.0	112.0	130.0	119.66666666666666
right	194	120	65	2.0	112.0	130.0	119.66666666666666
right	195	120	65	1.0	120.0	135.0	120.25
right	196	120	65	1.0	120.0	135.0	120.25
right	197	120	65	1.0	120.0	135.0	120.25
right	198	120	65	0.5	113.0	133.0	118.0
right	199	121	65	1.0	114.0	134.0	119.60000000000001
right	200	121	65	1.0	113.0	133.0	118.80000000000001
right	201	120	65	0.5	114.0	130.0	119.0
right	202	120	65	0.5	112.0	128.0	118.0
right	203	120	65	0.5	112.0	128.0	118.0
right	204	120	65	0.5	112.0	128.0	118.0
right	205	120	65	0.5	112.0	128.0	118.0
right	206	120	65	1.5	116.0	136.0	120.80000000000001
right	207	120	65	1.5	116.0	136.0	120.80000000000001
right	208	120	65	1.5	116.0	136.0	120.80000000000001
left	209	360	212	2.0	138.0	168.0	144.16666666666666
right	209	120	65	1.5	116.0	136.0	120.80000000000001
left	210	360	212	2.0	138.0	168.0	144.16666666666666
right	210	120	65	1.0	119.0	145.0	128.25
right	210	295	213	1.0	122.0	156.0	135.0
left	211	360	212	2.0	138.0	168.0	144.16666666666666
right	211	120	65	1.0	119.0	145.0	128.25
right	211	295	213	1.0	122.0	156.0	135.0
