frame	dist	x	y	xmin	xmax	ymin	ymax
631	87.87	404.03	346.16	312.74	492.44	286.57	402.81
632	87.93	401.31	346.85	310.2	488.65	287.4	403.07
633	88.0	398.87	347.26	307.69	487.37	287.54	403.74
634	88.13	396.69	347.56	305.17	486.27	288.02	404.3
635	88.45	391.74	348.11	299.53	481.56	287.88	404.4
636	88.53	389.38	348.23	297.65	479.05	288.1	404.46
637	88.66	387.36	348.71	296.34	476.96	288.29	405.2
638	88.49	385.4	348.84	294.53	473.84	288.85	405.24
639	88.67	383.15	348.76	291.31	473.3	287.59	404.89
640	89.1	381.04	348.53	288.53	470.6	286.88	405.42
641	89.04	378.52	348.26	286.05	469.0	287.48	404.79
642	89.38	373.06	347.49	280.35	465.31	285.83	405.26
643	89.56	370.3	347.16	276.86	461.88	284.96	405.52
644	89.59	367.18	346.86	273.98	459.72	285.16	405.54
645	89.86	363.72	346.71	269.9	456.24	284.41	405.53
646	90.1	360.27	346.56	266.57	452.77	284.03	405.82
647	90.25	356.92	346.46	262.37	449.62	283.84	405.89
648	90.4	353.48	346.5	259.09	446.29	283.71	406.66
649	90.86	346.88	346.05	252.79	440.79	283.15	406.69
650	91.37	343.57	345.43	248.0	437.99	281.53	406.78
651	91.54	339.91	344.85	243.91	434.24	280.41	405.97
652	91.74	336.16	344.52	240.3	430.43	280.2	405.76
653	92.02	332.65	344.24	236.79	427.87	279.5	405.75
654	92.04	329.49	344.28	233.52	424.59	279.44	406.42
655	92.68	324.32	345.51	227.85	420.76	279.31	408.48
656	92.89	322.59	346.49	226.18	419.08	280.36	410.11
657	93.09	321.38	347.23	224.8	418.26	280.94	410.24
658	93.28	320.5	348.11	224.34	417.82	281.97	410.82
659	93.43	319.97	348.63	223.22	416.63	282.47	411.73
660	93.53	319.51	349.05	222.53	416.6	282.92	412.3
661	93.82	318.35	349.62	220.89	415.85	283.79	412.72
662	93.86	317.68	349.77	219.69	416.04	283.8	413.36
663	94.04	316.61	350.03	218.84	413.81	283.88	413.52
664	94.29	315.54	350.18	218.08	413.39	283.86	413.63
665	94.36	313.97	350.4	216.66	412.61	283.66	414.34
666	94.48	312.31	350.51	214.55	409.98	283.69	414.92
667	94.57	308.06	350.44	210.26	406.29	283.45	415.75
668	94.74	305.61	350.26	207.69	404.56	282.33	415.29
669	94.77	302.96	349.88	204.44	402.47	281.8	414.7
670	94.77	300.06	349.39	201.73	400.19	281.04	415.5
671	94.72	297.0	348.94	198.23	396.96	280.59	415.49
672	94.79	290.73	347.53	192.21	390.9	278.64	414.82
673	94.74	287.84	346.71	189.36	387.63	276.8	414.48
674	94.89	285.15	345.86	185.61	384.87	275.54	414.0
675	94.87	282.61	345.21	182.69	383.45	275.3	413.59
676	94.83	280.21	344.67	180.68	381.54	273.67	413.16
677	94.94	278.3	344.27	179.07	380.68	273.39	413.15
678	94.81	275.52	343.8	175.67	377.25	272.84	413.74
679	94.62	275.04	343.73	175.46	376.47	272.78	412.77
680	94.49	274.68	343.67	175.36	375.64	272.67	412.91
681	94.47	274.66	343.7	175.47	375.43	272.93	412.81
682	94.42	274.64	343.7	175.56	375.48	273.05	412.64
683	94.18	274.78	343.72	176.32	375.47	273.47	412.53
684	93.34	275.97	343.9	178.81	375.21	274.18	412.39
685	93.18	276.82	344.02	179.94	376.14	274.6	412.08
686	92.85	277.5	344.16	181.14	375.95	275.42	412.18
687	92.54	277.97	344.28	182.52	375.95	276.24	411.78
688	92.44	278.13	344.32	182.57	375.93	276.46	412.04
689	92.07	277.97	344.1	183.08	375.11	276.18	410.98
690	91.0	275.48	342.51	181.71	372.42	275.28	409.31
691	90.65	273.45	341.37	180.0	370.98	274.46	408.7
692	90.28	271.23	340.09	178.12	368.46	273.16	407.58
693	89.86	268.61	338.67	175.49	365.9	271.63	406.55
694	89.51	265.99	337.28	173.7	363.34	270.0	406.68
695	89.05	263.0	335.82	171.33	359.79	268.73	404.98
696	88.32	257.04	332.95	166.38	353.87	265.46	402.16
697	87.98	254.01	331.59	163.84	350.29	264.32	400.64
698	87.75	251.16	330.63	161.33	347.2	263.08	400.93
699	87.38	248.53	330.02	159.63	343.66	262.72	399.55
700	87.29	246.45	329.69	157.3	341.7	262.52	399.83
