	camera	frame	cX	cY	pulse
1042	right	1233	434	367	p33
1043	right	1234	434	367	p33
1044	right	1235	434	367	p33
1045	right	1236	435	367	p33
1046	right	1237	435	367	p33
1047	right	1238	435	367	p33
1048	right	1239	435	367	p33
1049	right	1243	436	367	p33
1050	right	1244	436	367	p33
1051	right	1245	436	367	p33
1052	right	1246	436	367	p33
1053	right	1247	436	368	p33
1054	right	1248	436	368	p33
1055	right	1249	436	368	p33
1056	right	1250	436	368	p33
1057	right	1251	437	368	p33
1058	right	1252	437	368	p33
1059	right	1253	437	368	p33
1060	right	1254	437	368	p33
1061	right	1255	437	370	p33
1062	right	1256	437	370	p33
1063	right	1257	437	370	p33
1064	right	1258	438	370	p33
1065	right	1259	438	370	p33
1066	right	1260	438	370	p33
1067	right	1261	438	370	p33
1068	right	1262	438	370	p33
1069	right	1263	438	370	p33
1070	right	1264	438	370	p33
1071	right	1265	438	370	p33
1072	right	1266	438	370	p33
1073	right	1267	438	370	p33
1074	right	1268	438	370	p33
1075	right	1269	438	370	p33
1076	right	1270	439	370	p33
1077	right	1271	439	370	p33
1078	right	1272	439	370	p33
1079	right	1273	439	371	p33
1080	right	1274	439	371	p33
1081	right	1275	439	371	p33
1082	right	1276	439	371	p33
1087	right	1243	446	361	p34
1088	right	1244	446	361	p34
1083	right	1247	446	360	p34
1084	right	1248	446	360	p34
1085	right	1249	446	360	p34
1086	right	1250	446	360	p34
1089	right	1251	447	361	p34
1090	right	1252	447	361	p34
1091	right	1253	447	361	p34
1092	right	1254	447	361	p34
1093	right	1255	447	361	p34
1094	right	1256	447	361	p34
1095	right	1257	447	361	p34
1096	right	1258	447	361	p34
1097	right	1259	447	361	p34
1098	right	1260	447	361	p34
1099	right	1261	447	361	p34
1100	right	1262	448	362	p34
1101	right	1263	448	362	p34
1102	right	1264	448	362	p34
1103	right	1265	448	362	p34
1104	right	1266	448	362	p34
1105	right	1267	448	362	p34
1106	right	1268	448	362	p34
1107	right	1269	448	362	p34
1108	right	1270	448	362	p34
1109	right	1271	448	362	p34
1110	right	1272	448	362	p34
1111	right	1273	449	362	p34
1112	right	1274	449	362	p34
1113	right	1275	449	362	p34
1114	right	1276	449	362	p34
1115	right	1277	449	362	p34
1116	right	1278	449	362	p34
1117	right	1279	449	362	p34
1118	right	1280	449	362	p34
1119	right	1281	450	362	p34
1120	right	1282	450	362	p34
1121	right	1283	450	362	p34
1122	right	1284	450	362	p34
1123	right	1285	441	373	p35
1124	right	1286	441	373	p35
1125	right	1287	441	373	p35
1126	right	1300	485	367	p36
1127	right	1301	485	367	p36
1128	right	1302	485	367	p36
1129	right	1303	452	363	noise
1130	right	1304	452	363	noise
1131	right	1305	452	363	noise
1132	right	1306	452	363	noise
1133	right	1303	485	366	p38
1134	right	1304	485	366	p38
1135	right	1305	485	366	p38
1136	right	1306	485	366	p38
1137	left	543	110	134	p39
1138	left	544	110	134	p39
1139	left	545	110	134	p39
1140	left	546	110	134	p39
94	left	231	315	318	p4
95	left	232	315	318	p4
96	left	233	315	318	p4
97	left	234	315	318	p4
98	left	235	315	320	p4
99	left	236	315	320	p4
100	left	237	315	320	p4
101	left	238	315	320	p4
102	left	239	315	322	p4
103	left	240	315	322	p4
104	left	241	315	322	p4
105	left	242	315	324	p4
106	left	243	315	324	p4
107	left	244	315	324	p4
108	left	245	315	324	p4
109	left	246	315	326	p4
110	left	247	315	326	p4
111	left	248	315	326	p4
112	left	249	315	326	p4
113	left	254	315	329	p4
114	left	255	315	329	p4
115	left	256	315	329	p4
116	left	257	315	331	p4
117	left	258	315	331	p4
118	left	259	315	331	p4
119	left	260	315	331	p4
120	left	261	315	334	p4
121	left	262	315	334	p4
122	left	263	315	334	p4
123	left	264	315	334	p4
1141	right	1311	177	193	p40
1142	right	1312	177	193	p40
1143	right	1313	177	193	p40
1144	right	1314	177	193	p40
1145	right	1315	177	193	p40
1146	right	1316	177	193	p40
1147	right	1317	177	193	p40
1148	right	1311	348	371	p41
1149	right	1312	348	371	p41
1150	right	1313	348	371	p41
1151	right	1314	348	371	p41
1152	right	1315	349	371	p41
1153	right	1316	349	371	p41
1154	right	1317	349	371	p41
1155	right	1318	349	371	p41
1156	right	1319	349	371	p41
1157	right	1320	349	371	p41
1158	right	1321	349	371	p41
1159	right	1322	349	371	p41
1160	right	1323	349	371	p41
1161	right	1324	349	371	p41
1162	right	1325	349	371	p41
1163	right	1326	349	371	p41
1164	right	1327	349	371	p41
1165	right	1328	349	371	p41
1166	right	1329	349	371	p41
1211	right	1330	350	371	p41
1212	right	1331	350	371	p41
1213	right	1332	350	371	p41
1204	right	1333	350	370	p41
1205	right	1334	350	370	p41
1206	right	1335	350	370	p41
1207	right	1336	350	370	p41
1214	right	1337	350	371	p41
1208	right	1338	350	370	p41
1209	right	1339	350	370	p41
1210	right	1340	350	370	p41
1189	right	1341	350	369	p41
1190	right	1342	350	369	p41
1191	right	1343	350	369	p41
