	camera	frame	cX	cY	pulse
5296	right	1087	290	138	p100
5297	right	1088	290	138	p100
5298	right	1089	290	138	p100
5299	right	1090	290	138	p100
5791	right	1091	290	139	p100
5792	right	1092	290	139	p100
5793	right	1093	290	139	p100
5794	right	1094	290	139	p100
5795	right	1095	290	139	p100
5796	right	1096	290	139	p100
5797	right	1097	290	139	p100
5798	right	1098	290	139	p100
5799	right	1099	290	139	p100
5800	right	1100	290	139	p100
5801	right	1101	290	139	p100
5300	right	1102	290	138	p100
5301	right	1103	290	138	p100
5302	right	1104	290	138	p100
5303	right	1105	290	138	p100
5304	right	1106	290	138	p100
5305	right	1107	290	138	p100
5306	right	1108	290	138	p100
5307	right	1109	290	138	p100
5802	right	1110	290	139	p100
5803	right	1111	290	139	p100
5804	right	1112	290	139	p100
5805	right	1113	290	139	p100
5806	right	1114	290	139	p100
5807	right	1115	290	139	p100
5808	right	1116	290	139	p100
5809	right	1117	290	139	p100
5810	right	1118	290	139	p100
5811	right	1119	290	139	p100
5812	right	1120	290	139	p100
5813	right	1121	290	139	p100
5814	right	1122	290	139	p100
5815	right	1123	290	139	p100
5816	right	1124	290	139	p100
5817	right	1125	290	139	p100
5818	right	1126	290	139	p100
5819	right	1127	290	139	p100
5820	right	1128	290	139	p100
5308	right	1129	290	138	p100
5309	right	1130	290	138	p100
5310	right	1131	290	138	p100
5311	right	1132	290	138	p100
5312	right	1133	290	138	p100
5313	right	1134	290	138	p100
5314	right	1135	290	138	p100
5821	right	1136	290	139	p100
5822	right	1137	290	139	p100
5823	right	1138	290	139	p100
5824	right	1139	290	139	p100
5825	right	1140	290	139	p100
5826	right	1141	290	139	p100
5827	right	1142	290	139	p100
5828	right	1143	290	139	p100
5829	right	1144	290	139	p100
5830	right	1145	290	139	p100
5831	right	1146	290	139	p100
5315	right	1147	290	138	p100
5316	right	1148	290	138	p100
5317	right	1149	290	138	p100
5318	right	1150	290	138	p100
5319	right	1151	290	138	p100
5320	right	1152	290	138	p100
5321	right	1153	290	138	p100
5322	right	1154	290	138	p100
5832	right	1155	290	139	p100
5833	right	1156	290	139	p100
5834	right	1157	290	139	p100
5835	right	1158	290	139	p100
5323	right	1159	290	138	p100
5324	right	1160	290	138	p100
5325	right	1161	290	138	p100
5326	right	1162	290	138	p100
5327	right	1163	290	138	p100
5328	right	1164	290	138	p100
5329	right	1165	290	138	p100
5330	right	1166	290	138	p100
5331	right	1167	290	138	p100
5332	right	1168	290	138	p100
5333	right	1169	290	138	p100
5836	right	1170	290	139	p100
5837	right	1171	290	139	p100
5838	right	1172	290	139	p100
5839	right	1173	290	139	p100
5840	right	1174	290	139	p100
5841	right	1175	290	139	p100
5842	right	1176	290	139	p100
5843	right	1177	290	139	p100
5844	right	1178	290	139	p100
5845	right	1179	290	139	p100
5846	right	1180	290	139	p100
5847	right	1181	290	139	p100
5848	right	1182	290	139	p100
5849	right	1183	290	139	p100
5850	right	1184	290	139	p100
5334	right	1185	290	138	p100
5335	right	1186	290	138	p100
5336	right	1187	290	138	p100
5337	right	1188	290	138	p100
5338	right	1189	290	138	p100
5339	right	1190	290	138	p100
5340	right	1191	290	138	p100
5851	right	1192	290	139	p100
5852	right	1193	290	139	p100
5853	right	1194	290	139	p100
5854	right	1195	290	139	p100
5341	right	1196	290	138	p100
5342	right	1197	290	138	p100
5343	right	1198	290	138	p100
5344	right	1199	290	138	p100
5855	right	1200	290	139	p100
5856	right	1201	290	139	p100
5857	right	1202	290	139	p100
5858	right	1203	290	139	p100
5345	right	1204	290	138	p100
5346	right	1205	290	138	p100
5347	right	1206	290	138	p100
5348	right	1207	290	138	p100
5859	right	1208	290	139	p100
5860	right	1209	290	139	p100
5861	right	1210	290	139	p100
5862	right	1211	290	139	p100
5863	right	1212	290	139	p100
5864	right	1213	290	139	p100
5865	right	1214	290	139	p100
5349	right	1215	290	138	p100
5350	right	1216	290	138	p100
5351	right	1217	290	138	p100
5352	right	1218	290	138	p100
5353	right	1219	290	138	p100
5354	right	1220	290	138	p100
5355	right	1221	290	138	p100
5356	right	1222	290	138	p100
5357	right	1223	290	138	p100
5358	right	1224	290	138	p100
5359	right	1225	290	138	p100
5866	right	1226	290	139	p100
5867	right	1227	290	139	p100
5868	right	1228	290	139	p100
5869	right	1229	290	139	p100
5870	right	1230	290	139	p100
5871	right	1231	290	139	p100
5872	right	1232	290	139	p100
5873	right	1233	290	139	p100
5360	right	1234	290	138	p100
5361	right	1235	290	138	p100
5362	right	1236	290	138	p100
5363	right	1237	290	138	p100
5364	right	1238	290	138	p100
5365	right	1239	290	138	p100
5366	right	1240	290	138	p100
5874	right	1241	290	139	p100
5875	right	1242	290	139	p100
5876	right	1243	290	139	p100
5877	right	1244	290	139	p100
5878	right	1245	290	139	p100
5879	right	1246	290	139	p100
5880	right	1247	290	139	p100
5881	right	1248	290	139	p100
5882	right	1249	290	139	p100
5883	right	1250	290	139	p100
5884	right	1251	290	139	p100
5885	right	1252	290	139	p100
5886	right	1253	290	139	p100
5887	right	1254	290	139	p100
5888	right	1255	290	139	p100
5889	right	1256	290	139	p100
5890	right	1257	290	139	p100
5891	right	1258	290	139	p100
5892	right	1259	290	139	p100
5367	right	1260	290	138	p100
5368	right	1261	290	138	p100
5369	right	1262	290	138	p100
5370	right	1263	290	138	p100
5893	right	1264	290	139	p100
5894	right	1265	290	139	p100
5895	right	1266	290	139	p100
5896	right	1267	290	139	p100
5897	right	1268	290	139	p100
5898	right	1269	290	139	p100
5899	right	1270	290	139	p100
5371	right	1271	290	138	p100
5372	right	1272	290	138	p100
5373	right	1273	290	138	p100
5374	right	1274	290	138	p100
5900	right	1275	290	139	p100
5901	right	1276	290	139	p100
5902	right	1277	290	139	p100
5903	right	1278	290	139	p100
5375	right	1279	290	138	p100
5376	right	1280	290	138	p100
5377	right	1281	290	138	p100
5904	right	1282	290	139	p100
5905	right	1283	290	139	p100
5906	right	1284	290	139	p100
5907	right	1285	290	139	p100
5378	right	1286	290	138	p100
5379	right	1287	290	138	p100
5380	right	1288	290	138	p100
5381	right	1289	290	138	p100
5908	right	1290	290	139	p100
5909	right	1291	290	139	p100
5910	right	1292	290	139	p100
5911	right	1293	290	139	p100
5912	right	1294	290	139	p100
5913	right	1295	290	139	p100
5914	right	1296	290	139	p100
5915	right	1297	290	139	p100
5916	right	1298	290	139	p100
5917	right	1299	290	139	p100
5918	right	1300	290	139	p100
5919	right	1301	290	139	p100
5920	right	1302	290	139	p100
5921	right	1303	290	139	p100
5922	right	1304	290	139	p100
5923	right	1305	290	139	p100
5924	right	1306	290	139	p100
5925	right	1307	290	139	p100
5926	right	1308	290	139	p100
5927	right	1309	290	139	p100
5928	right	1310	290	139	p100
5929	right	1311	290	139	p100
5065	right	1312	289	139	p100
5066	right	1313	289	139	p100
5067	right	1314	289	139	p100
5068	right	1315	289	139	p100
5930	right	1316	290	139	p100
5931	right	1317	290	139	p100
5932	right	1318	290	139	p100
5933	right	1319	290	139	p100
5934	right	1320	290	139	p100
5935	right	1321	290	139	p100
5936	right	1322	290	139	p100
5937	right	1323	290	139	p100
5382	right	1324	290	138	p100
5383	right	1325	290	138	p100
5384	right	1326	290	138	p100
5938	right	1327	290	139	p100
5939	right	1328	290	139	p100
5940	right	1329	290	139	p100
5941	right	1330	290	139	p100
5385	right	1331	290	138	p100
5386	right	1332	290	138	p100
5387	right	1333	290	138	p100
5388	right	1334	290	138	p100
5942	right	1335	290	139	p100
5943	right	1336	290	139	p100
5944	right	1337	290	139	p100
5945	right	1338	290	139	p100
5995	right	1339	291	139	p100
5996	right	1340	291	139	p100
5997	right	1341	291	139	p100
5389	right	1342	290	138	p100
5390	right	1343	290	138	p100
5391	right	1344	290	138	p100
5392	right	1345	290	138	p100
5946	right	1346	290	139	p100
5947	right	1347	290	139	p100
5948	right	1348	290	139	p100
5949	right	1349	290	139	p100
5393	right	1350	290	138	p100
5394	right	1351	290	138	p100
5395	right	1352	290	138	p100
5396	right	1353	290	138	p100
5397	right	1354	290	138	p100
5398	right	1355	290	138	p100
5399	right	1356	290	138	p100
5400	right	1357	290	138	p100
5401	right	1358	290	138	p100
5402	right	1359	290	138	p100
5403	right	1360	290	138	p100
5950	right	1361	290	139	p100
5951	right	1362	290	139	p100
5952	right	1363	290	139	p100
5953	right	1364	290	139	p100
5954	right	1365	290	139	p100
5955	right	1366	290	139	p100
5956	right	1367	290	139	p100
5957	right	1368	290	139	p100
5958	right	1369	290	139	p100
5959	right	1370	290	139	p100
5960	right	1371	290	139	p100
5961	right	1372	290	139	p100
5962	right	1373	290	139	p100
5963	right	1374	290	139	p100
5964	right	1375	290	139	p100
5404	right	1376	290	138	p100
5405	right	1377	290	138	p100
5406	right	1378	290	138	p100
5407	right	1379	290	138	p100
5408	right	1380	290	138	p100
5409	right	1381	290	138	p100
5410	right	1382	290	138	p100
5411	right	1383	290	138	p100
5412	right	1384	290	138	p100
5413	right	1385	290	138	p100
5414	right	1386	290	138	p100
5415	right	1387	290	138	p100
5416	right	1388	290	138	p100
5417	right	1389	290	138	p100
5418	right	1390	290	138	p100
5419	right	1391	290	138	p100
5420	right	1392	290	138	p100
5421	right	1393	290	138	p100
