camera	frame	cX	cY
right	351	9	302
left	352	396	140
left	352	198	296
right	352	222	143
right	352	9	302
left	353	396	140
left	353	198	296
right	353	222	144
right	353	9	302
left	354	396	140
left	354	198	296
right	354	222	144
right	354	9	302
left	355	397	140
left	355	198	296
right	355	222	144
right	355	9	302
left	356	397	140
left	356	198	296
right	356	222	143
right	356	9	302
left	357	397	140
left	357	198	296
right	357	222	143
right	357	9	302
left	358	397	140
left	358	198	296
right	358	222	143
right	358	9	302
left	359	397	140
left	359	198	296
right	359	222	143
right	359	9	302
left	360	397	140
left	360	198	296
right	360	222	144
left	361	397	140
left	361	198	296
right	361	222	144
left	362	397	140
left	362	198	296
right	362	222	144
left	363	397	140
left	363	198	296
right	363	222	144
left	364	397	140
left	364	198	296
right	364	222	143
left	365	397	140
left	365	198	296
right	365	222	143
left	366	397	140
left	366	198	296
right	366	222	143
left	367	397	140
left	367	198	296
right	367	222	143
left	368	397	140
left	368	198	296
right	368	222	143
left	369	397	140
left	369	198	296
right	369	222	143
left	370	397	140
left	370	198	296
right	370	222	143
left	371	397	140
left	371	198	296
right	371	222	143
left	372	397	140
left	372	198	296
right	372	222	143
left	373	397	140
left	373	197	295
right	373	222	143
left	374	397	140
left	374	197	295
right	374	222	143
left	375	397	140
left	375	197	295
left	376	397	140
left	376	197	295
left	377	397	140
left	378	397	140
left	379	397	140
right	379	223	143
left	380	397	140
right	380	223	143
left	381	397	140
right	381	223	143
left	382	397	140
right	382	223	143
left	383	397	140
right	383	222	143
left	384	397	140
right	384	222	143
left	385	396	140
right	385	222	143
left	386	396	140
right	386	222	143
left	387	396	140
right	387	222	143
left	388	397	140
right	388	222	143
left	389	397	140
right	389	222	143
left	390	397	140
right	390	222	143
right	390	81	152
left	391	397	140
right	391	222	143
right	391	81	152
left	392	397	140
right	392	222	143
right	392	81	152
left	393	397	140
right	393	222	143
right	393	81	152
left	394	397	140
right	394	222	143
right	394	153	147
right	394	81	152
left	395	397	140
right	395	222	143
right	395	153	147
right	395	81	152
left	396	397	140
right	396	222	143
right	396	153	147
right	396	81	152
left	397	397	140
right	397	222	143
right	397	153	147
right	397	81	152
left	398	397	140
left	399	397	140
left	400	397	140
left	400	330	145
left	400	194	156
left	401	397	140
left	401	330	145
left	401	194	156
right	401	222	143
right	401	81	153
left	402	397	140
left	402	330	145
left	402	194	156
right	402	222	143
right	402	81	153
left	403	397	140
left	403	329	145
left	403	262	150
left	403	193	156
right	403	222	143
right	403	81	153
left	404	397	140
left	404	329	145
left	404	262	150
left	404	193	156
right	404	222	143
right	404	81	153
left	405	397	140
left	405	329	145
left	405	262	150
left	405	193	156
right	405	81	153
left	406	397	140
left	406	329	145
left	406	262	150
left	406	193	156
right	406	81	153
left	407	397	140
left	407	329	145
left	407	262	151
left	407	193	156
right	407	81	153
left	408	397	140
left	408	329	145
left	408	262	151
left	408	193	156
right	408	81	153
left	409	397	140
left	409	329	145
left	409	262	151
left	409	193	156
right	409	289	139
right	409	81	152
left	410	397	140
left	410	329	145
left	410	262	151
left	410	193	156
right	410	289	139
right	410	81	152
left	411	397	140
left	411	330	145
left	411	262	150
left	411	194	155
right	411	289	139
right	411	81	152
left	412	397	140
left	412	330	145
left	412	262	150
left	412	194	155
right	412	289	139
right	412	81	152
left	413	397	140
left	413	330	145
left	413	262	150
left	413	194	155
right	413	289	139
right	413	81	153
left	414	397	140
left	414	330	145
left	414	262	150
left	414	194	155
right	414	289	139
right	414	81	153
left	415	397	140
left	415	329	145
left	415	262	150
left	415	193	156
right	415	289	139
right	415	81	153
left	416	397	140
left	416	329	145
left	416	262	150
left	416	193	156
right	416	290	139
right	416	82	152
left	417	397	140
left	417	329	145
left	417	262	150
left	417	193	156
right	417	290	139
right	417	82	152
left	418	397	140
left	418	330	145
left	418	262	150
left	418	193	156
right	418	290	139
right	418	82	152
left	419	397	140
left	419	330	145
left	419	262	150
left	419	193	156
right	419	290	139
right	419	82	152
left	420	397	140
left	420	330	145
left	420	262	150
left	420	193	156
right	420	290	139
right	420	81	152
left	421	397	140
left	421	330	145
left	421	262	150
left	421	193	156
right	421	290	139
right	421	81	152
left	422	262	150
left	422	194	156
right	422	290	139
right	422	81	152
left	423	262	150
left	423	194	156
right	423	290	139
right	423	81	152
left	424	262	150
left	424	194	156
right	424	290	139
right	424	81	152
left	425	262	150
left	425	194	156
right	425	290	139
right	425	81	152
left	426	262	150
left	426	194	156
right	426	290	139
right	426	81	152
left	427	262	150
left	427	194	156
right	427	290	139
right	427	81	152
left	428	262	150
left	428	194	156
right	428	289	139
right	428	153	147
right	428	81	152
left	429	262	150
left	429	194	156
right	429	289	138
right	429	153	147
right	429	81	152
left	430	262	150
left	430	193	156
right	430	289	138
right	430	153	147
right	430	81	152
left	431	262	150
left	431	193	156
right	431	290	139
right	431	81	152
left	432	262	150
left	432	193	156
right	432	290	139
right	432	81	152
left	433	262	150
left	433	193	156
right	433	290	139
right	433	81	152
left	434	262	150
left	434	193	156
right	434	290	139
right	434	81	152
left	435	262	150
left	435	193	156
right	435	290	139
right	435	153	148
right	435	81	152
left	436	262	150
left	436	193	156
right	436	290	139
right	436	153	148
right	436	81	152
left	437	262	151
left	437	193	156
right	437	290	139
right	437	153	148
right	437	81	152
left	438	262	151
left	438	193	156
right	438	290	139
right	438	153	148
right	438	81	152
left	439	262	151
left	439	193	156
right	439	289	139
right	439	153	148
right	439	82	153
left	440	262	151
left	440	193	156
right	440	289	139
right	440	153	148
right	440	82	153
left	441	262	151
left	441	194	156
right	441	289	139
right	441	153	148
right	441	82	153
left	442	262	151
left	442	194	156
right	442	289	139
right	442	153	148
right	442	82	153
left	443	262	151
left	443	194	156
right	443	290	139
right	443	153	148
left	444	262	151
left	444	194	156
right	444	290	139
right	444	153	148
left	445	262	150
left	445	193	156
right	445	290	139
right	445	153	148
left	446	262	150
left	446	193	156
right	446	289	139
right	446	81	153
left	447	262	150
left	447	193	156
right	447	289	139
right	447	81	153
left	448	262	150
left	448	193	156
right	448	289	139
right	448	81	153
left	449	262	150
left	449	193	156
right	449	289	139
right	449	81	153
left	450	262	150
left	450	193	156
right	450	289	139
right	450	153	148
right	450	81	152
left	451	262	150
left	451	193	156
right	451	289	139
right	451	153	148
right	451	81	152
left	452	262	150
left	452	193	156
right	452	289	139
right	452	153	148
right	452	81	152
left	453	262	150
left	453	193	156
right	453	289	139
right	453	153	148
right	453	81	152
left	454	262	150
left	454	193	156
right	454	290	138
right	454	153	148
right	454	81	152
left	455	262	150
left	455	193	156
right	455	290	138
right	455	153	148
right	455	81	152
left	456	262	151
left	456	193	156
right	456	290	138
right	456	153	148
right	456	81	152
left	457	262	151
left	457	193	156
right	457	290	138
right	457	153	148
right	457	81	152
left	458	262	151
left	458	193	156
right	458	289	139
right	458	153	147
right	458	81	152
left	459	262	151
left	459	193	156
right	459	289	139
right	459	153	147
right	459	81	152
left	460	262	151
left	460	193	156
right	460	289	139
right	460	153	147
right	460	81	152
left	461	262	151
left	461	193	156
right	461	290	139
right	461	153	147
right	461	81	153
left	462	262	151
left	462	193	156
right	462	290	139
right	462	153	147
right	462	81	153
left	463	262	150
left	463	193	156
right	463	290	139
right	463	153	147
right	463	81	153
left	464	262	150
left	464	193	156
right	464	290	139
right	464	153	147
right	464	81	153
left	465	262	150
left	465	193	156
right	465	290	139
right	465	81	152
left	466	262	150
left	466	193	156
right	466	290	139
right	466	81	152
left	467	262	150
left	467	193	156
right	467	290	139
right	467	81	152
left	468	262	150
left	468	193	156
right	468	290	139
right	468	81	152
left	469	262	150
left	469	193	156
right	469	290	139
right	469	81	152
left	470	262	150
left	470	193	156
right	470	290	139
right	470	81	152
left	471	262	151
right	471	290	139
right	471	81	152
left	472	262	151
right	472	289	139
right	472	81	152
left	473	262	151
right	473	289	139
right	473	81	152
left	474	262	151
right	474	289	139
right	474	81	152
left	475	262	150
left	475	193	156
right	475	289	139
right	475	81	152
left	476	262	150
left	476	193	156
right	476	290	139
left	477	262	150
left	477	193	156
right	477	290	139
left	478	193	156
right	478	290	139
left	479	193	156
right	479	290	139
left	480	193	156
right	480	289	138
right	480	81	153
left	481	193	156
right	481	289	138
right	481	81	153
left	482	397	140
left	482	262	151
left	482	193	156
right	482	289	138
right	482	81	153
left	483	397	140
left	483	262	151
left	483	193	156
right	483	289	138
right	483	81	153
left	484	397	140
left	484	262	151
left	484	193	156
right	484	290	139
right	484	81	153
left	485	397	140
left	485	262	151
left	485	193	156
right	485	290	139
right	485	81	153
left	486	262	151
left	486	194	156
right	486	290	139
right	486	81	153
left	487	262	151
left	487	194	156
right	487	290	139
right	487	81	153
left	488	262	151
left	488	194	156
right	488	290	138
