frame	cX	cY	area	minI	maxI	meanI	camera	tank	cXtank	match_status
689	2170	330	68.0	181.0	255.0	229.9880952380952	right	right_tank1	108.0	match
689	2291	343	88.5	181.0	255.0	230.1495327102804	right	right_tank1	229.0	match
689	297	387	107.0	181.0	255.0	221.515873015873	left	left_tank1	112.0	match
689	2195	406	87.5	181.0	255.0	226.95238095238096	right	right_tank1	133.0	match
690	261	315	105.5	181.0	255.0	228.29457364341084	left	left_tank1	76.0	match
690	380	319	97.5	181.0	255.0	234.7130434782609	left	left_tank1	195.0	match
690	2170	331	52.5	181.0	255.0	232.536231884058	right	right_tank1	108.0	match
690	2290	343	102.5	181.0	255.0	230.7190082644628	right	right_tank1	228.0	match
690	297	387	109.5	181.0	255.0	231.4769230769231	left	left_tank1	112.0	match
690	2194	406	113.5	182.0	255.0	227.9624060150376	right	right_tank1	132.0	match
691	262	314	129.5	182.0	243.0	217.02597402597405	left	left_tank1	77.0	match
691	379	318	148.0	181.0	255.0	229.17751479289944	left	left_tank1	194.0	match
691	2173	330	67.5	181.0	247.0	215.5	right	right_tank1	111.0	match
691	2288	343	113.5	181.0	255.0	231.3955223880597	right	right_tank1	226.0	match
691	297	387	107.0	181.0	255.0	231.6771653543307	left	left_tank1	112.0	match
691	2195	406	99.0	181.0	255.0	228.635593220339	right	right_tank1	133.0	match
692	261	313	178.5	182.0	255.0	233.55665024630545	left	left_tank1	76.0	match
692	376	317	225.5	181.0	255.0	234.63529411764705	left	left_tank1	191.0	match
692	2172	331	107.5	181.0	255.0	226.3125	right	right_tank1	110.0	match
692	2287	342	191.5	181.0	255.0	226.697247706422	right	right_tank1	225.0	match
692	297	387	105.5	181.0	255.0	231.008	left	left_tank1	112.0	match
692	2195	407	110.5	181.0	255.0	228.9782608695652	right	right_tank1	133.0	match
693	262	313	180.5	181.0	255.0	230.05769230769232	left	left_tank1	77.0	match
693	377	317	233.5	181.0	255.0	229.98473282442748	left	left_tank1	192.0	match
693	2173	329	139.5	182.0	255.0	222.9329268292683	right	right_tank1	111.0	match
693	2287	341	233.0	181.0	255.0	235.4886363636364	right	right_tank1	225.0	match
693	298	386	106.0	183.0	255.0	232.57936507936503	left	left_tank1	113.0	match
693	2194	406	77.5	181.0	255.0	223.60416666666663	right	right_tank1	132.0	match
694	381	291	58.0	181.0	235.0	213.5844155844156	left	left_tank1	196.0	match
694	262	314	218.0	181.0	255.0	229.92857142857144	left	left_tank1	77.0	match
694	376	316	260.0	181.0	255.0	224.3252595155709	left	left_tank1	191.0	match
694	2172	328	231.5	181.0	255.0	221.675572519084	right	right_tank1	110.0	match
694	2287	341	262.0	181.0	255.0	226.7103448275862	right	right_tank1	225.0	match
